ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
165,,PROD,,Y0NMM_ZAO0002,,9,Jan,14,,0.007
166,,PROD,,Y0NMM_ZAO0003,,9,Jan,170,,0.085
167,,PROD,,Y0NMM_ZAO0004,,19,Jan,74367,,37.1835
168,,PROD,,Y0NMM_ZAO0005,,6,Jan,27,,0.0135
169,,PROD,,Y0NMM_ZAO0008,,1,Jan,11,,0.0055
170,,PROD,,Y0NMM_ZAO0016,,15,Jan,22,,0.011
171,,PROD,,Y0NMM_ZAO0017,,17,Jan,78446,,39.223
172,,PROD,,Y0NMM_ZAO0020,,3,Jan,67,,0.0335
173,,PROD,,Y0NMM_ZAO0021,,3,Jan,1379,,0.6895
174,,PROD,,Y0NMM_ZAO0025,,6,Jan,14185,,7.0925
175,,PROD,,Y0NMM_ZAO0026,,5,Jan,10859,,5.4295
176,,PROD,,Y0NMM_ZAO0027,,15,Jan,8785,,4.3925
177,,PROD,,Y0NMM_ZAO0028,,7,Jan,124,,0.062
178,,PROD,,Y0NMM_ZAO0029,,8,Jan,166,,0.083
179,,PROD,,Y0NMM_ZAO0030,,2,Jan,685,,0.3425
180,,PROD,,Y0NMM_ZAO0031,,8,Jan,59,,0.0295
181,,PROD,,Y0NMM_ZAO0032,,2,Jan,23,,0.0115
182,,PROD,,Y0NMM_ZAO0203,,2,Jan,7,,0.0035
183,,PROD,,Y0NMM_ZAR0002,,24,Jan,198,,0.099
184,,PROD,,Y0NMM_ZAR0014,,1,Jan,2,,0.001
185,,PROD,,Y0NMM_ZAR0018,,1,Jan,45,,0.0225
186,,PROD,,Y0NMM_ZAR0020,,10,Jan,179244,,89.622
187,,PROD,,Y0NMM_ZAR0029,,19,Jan,374,,0.187
188,,PROD,,Y0NMM_ZAR0030,,2,Jan,755,,0.3775
189,,PROD,,Y0NMM_ZAR0031,,1,Jan,105,,0.0525
190,,PROD,,Y0NMM_ZAR0036,,1,Jan,51,,0.0255
